index,OCC_COMPL,LAST_N,FIRST_N,PER_GRP,PER_COMPL,LOC_PAR,LOC_STR,NUM,LOC_COMPL,NORM_PARISH,DISTRICT,geometry,geometry_from,profession,profession_eng,category,category_eng,PAGE_NUM
112,,Garbura,Luigi,,"fu Giuseppe,",s. M. Formosa,campo s. Marina,6070,,maria formosa,Castello,POINT (12.339341227005315 45.438538916438795),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
113,,Gariboldi,Marco,,"fu Sante,",s. M. Gloriosa dei Frari,campo s. Polo,1993,con cancello sotto le precuratie nuove s. Marco n. 61.,maria gloriosa dei frari,San Polo,POINT (12.330407128477814 45.43714962811921),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
114,,Giuriato,"Gio.; Domenico; Antonio,",,,s. Luca,rioterra degli assassini,3702,,luca,San Marco,POINT (12.33343993052506 45.43484041880603),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
115,,Gorgosalice,Pietro,,"fu Luigi,",s. Pantaleone,salizzada ,35,,pantalon,Dorsoduro,POINT (12.334281068536137 45.42990709924705),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
116,,Introna,"Michele; Vito,",,fu Nicold,s. Stefano,calle delle botteghe s.Samuele,3125,,stefano,San Marco,POINT (12.3299038516854 45.434069833753945),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
117,,Kaula,Raffaele; Giacomo,,"fu Raffaele,",s. Marziale,ex convento dei servi,2374,con recapito al caffe Mendel sotto le procuratie vecchie s. Marco.,marziale,Cannaregio,POINT (12.33112211289698 45.4438821015843),interpolation,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
118,,Levi,Cervo,,"fu Mandolino,",s. Luca,calle dei fuseri corte del forno,4351,,luca,San Marco,POINT (12.33509891925489 45.434895839931514),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
119,,Luzzato,David,,"fu Abramo,",s. Marziale,calle della malvasia,2787,,marziale,Cannaregio,POINT (12.328354247303825 45.44615832553141),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
120,,Marzari,Angelo,,"fu Pietro,",s. M. Formosa,calle dei Orbi,5194,"con cancello sotto il campanile s, Marco n. 24.",maria formosa,Castello,POINT (12.342129419298342 45.43742071007405),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
121,,Morbiato,Carlo,,"fu Angelo,",ss. Salvatore,traghetto del buso s. Bartolammeo corte della regina,5354,,salvador,San Marco,POINT (12.336382889227565 45.437992702452824),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
122,,Passalacqua,"Francesco,",,,s. Cassiano,calle Baglioni,1880,con cancello sotto il campanile s. Marco n. 28.,cassiano,Santa Croce,POINT (12.329063967519344 45.44029378096522),interpolation,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
123,,Pavan,Angelo,,"fu Pietro,",ss. Gio. Paolo,calle dell’ Erbe,6424,con cancello sotto le procuratie nuove s. Marco n. 44.,giovanni e paolo,Castello,POINT (12.343304238909607 45.43846224974423),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
124,,Rondina,Matteo,,"fu Giuseppe,",s. Silvestro,riva del vin.,47,,silvestro,San Polo,POINT (12.334599870014602 45.438932193325215),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
125,,Scarpa,Antonio,,"fu Guglielmo,",s. Zaccaria,calle dietro la chiesa s.Gio. in Oleo,4437,,zaccaria,Castello,POINT (12.341672478201884 45.43576913193288),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
126,,Scattaglia,Antonio,,"fa Giacomo,",ss. Gio. e Paolo,ponte dell’ Erbe,6116,,giovanni e paolo,Castello,POINT (12.340609239946096 45.43836175540711),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
127,,Stella; ,Giovanni,,"di Paolo,",s. Zaccaria,fond. s. Lorenzo,5047,con cancello sotto le procuratie nuove s. Marco n. 41.,zaccaria,Castello,POINT (12.344226389390236 45.43646506931739),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
128,,Tagliaferro,Giuseppe,,"fue Luigi,",s. Silvestro,campo s. Apollinare,926,,silvestro,San Polo,POINT (12.332739307682678 45.438381489753944),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
129,,Vagliano,Francesco,,"fu Spiridione,",s. Zaccaria,fondamenta s. Severo,5010,con cancello sotto le procuratie nuove n. 8,zaccaria,Castello,POINT (12.343009548846966 45.43662642339357),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
129,,Vagliano,Francesco,,"fu Spiridione,",s. Zaccaria,fondamenta s. Severo,5010,con cancello sotto le procuratie nuove n. 8,zaccaria,Castello,POINT (12.343009548846966 45.43662642339357),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,141
130,,Vianello,Angelo,,detto Mattutina,s. Zaccaria,campo s.Gio. in Oleo,4387,,zaccaria,Castello,POINT (12.34121442372008 45.43563511077826),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
131,,Vivante,Girolamo,,"di Aronne,",s. Marziale,fondamenta s. Girolamo ponte del ghetto,2921,,marziale,Cannaregio,POINT (12.32739583491858 45.44555287419425),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
132,,Zacchello,Luigi; Giuseppe,,,ss. Salvatore,calle dei stagneri,5216,,salvador,San Marco,POINT (12.337010153895998 45.43698947601503),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
134,,Gemelli,Anselmo,,"fu Giuseppe,",s. M. del Giglio,corte Lovisella,2080,con cancello sotto le procuratie nuove s. Marco n. 18.,maria del giglio,San Marco,POINT (12.33521590795581 45.433216845286104),contemporary,sensali interpreti e regolatori di bastimenti,interpreter brokers and shipping regulators,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,141
135,,Malabotich Biaggio,Giovanni,,del fu Giovanni,"ss. Gio, e Paolo",ponte senza bande a s. Giustina,2836,con cancello sotto le procuratie nuove s. Marco n. 20.,giovanni e paolo,Castello,POINT (12.345659471257592 45.43798125562725),contemporary,sensali interpreti e regolatori di bastimenti,interpreter brokers and shipping regulators,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,141
136,,Pacchiessi,Gio.; Battista,,,s. Marco,calle s. Gallo,1073,con cancello sotto le procuratie nuove s. Marco n. 42.,marco,San Marco,POINT (12.336834927894724 45.43494953962478),contemporary,sensali interpreti e regolatori di bastimenti,interpreter brokers and shipping regulators,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,141
137,,Rota,Antonio,,"fu Marco,",s. Gio. in Bragera,calle del Dose,3729,con eancello sotto le procuratie nuove s. Marco n. 8.,giovanni in bragora,Castello,POINT (12.346333809047318 45.43433720378129),contemporary,sensali interpreti e regolatori di bastimenti,interpreter brokers and shipping regulators,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,141
138,,Vagliano,Francesco,,"fu Spiridione,",s. Zaccaria,fondamenta s. Severo,5010,con cancello sotto le procuratie nuove s. Marco n. 8.,zaccaria,Castello,POINT (12.343009548846966 45.43662642339357),contemporary,sensali interpreti e regolatori di bastimenti,interpreter brokers and shipping regulators,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
138,,Vagliano,Francesco,,"fu Spiridione,",s. Zaccaria,fondamenta s. Severo,5010,con cancello sotto le procuratie nuove s. Marco n. 8.,zaccaria,Castello,POINT (12.343009548846966 45.43662642339357),contemporary,sensali interpreti e regolatori di bastimenti,interpreter brokers and shipping regulators,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,141
139,,Zaccaria,Paolo,,"fu Giovanni,","s, Gio. in Bragora",riva dei Schiavoni ponte Cà di Dio,4084,con cancello sotto le procuratie nuove s. Marco n. 53.,giovanni in bragora,Castello,POINT (12.347571123254212 45.43385014164267),contemporary,sensali interpreti e regolatori di bastimenti,interpreter brokers and shipping regulators,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,141
140,,Boscolo,Massimiliano,,"fa Domenico,",s. Maria del Rosario,rie terra Catecumeni,73,,madonna del rosario,Dorsoduro,POINT (12.33361415087773 45.429597048047306),contemporary,sensali da trasporti per terra e per acqua,land and water transportation brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,141
141,,Lombardo,Angelo,,"fu Aldebrando,",s. Maria del Rosario,Abazia s. Gregorio,172,,madonna del rosario,Dorsoduro,POINT (12.333830836395578 45.430801166936924),contemporary,sensali da trasporti per terra e per acqua,land and water transportation brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,141
142,,Carnielli,Giacomo; Pase; Luigi,,,s. M del Carmine,fondamenta Girardini,2622,,maria dei carmini,Dorsoduro,POINT (12.322344857381442 45.432878708502734),contemporary,aceto,Vineger,Commercio di prossimità - generi alimentari,Local commerce - groceries,143
143,,Dal Fiol,Vincenzo; Matteo,,,s. Zaccaria,fondamenta delVosmarin,4971,,zaccaria,Castello,POINT (12.343465942975413 45.43559901140534),contemporary,aceto,Vineger,Commercio di prossimità - generi alimentari,Local commerce - groceries,143
144,,Dal Toso,"Giovanni,",,,s. Luca,calle dei fabbri,4669,,luca,San Marco,POINT (12.335863758226523 45.43600114113095),contemporary,aceto,Vineger,Commercio di prossimità - generi alimentari,Local commerce - groceries,143
145,,Gasparini,"Francesco,",,,s.Simeone Prof.,calle Zambelli,737,,simeon profeta,Santa Croce,POINT (12.323529420172237 45.44079880243419),contemporary,aceto,Vineger,Commercio di prossimità - generi alimentari,Local commerce - groceries,143
146,,Thomas,"Pietro,",,,s. Salvatore,riva del ferro,5150,,salvador,San Marco,POINT (12.336048039342081 45.43777287728111),contemporary,aceto,Vineger,Commercio di prossimità - generi alimentari,Local commerce - groceries,143
146,,Thomas,"Pietro,",,,s. Salvatore,riva del ferro,5150,,salvador,San Marco,POINT (12.336048039342081 45.43777287728111),contemporary,aceto,Vineger,Commercio di prossimità - generi alimentari,Local commerce - groceries,143
147,,Thomas,"Pietro,",,,s. Salvatore,riva del ferro,5151,,salvador,San Marco,POINT (12.336146449009432 45.43778957198362),contemporary,aceto,Vineger,Commercio di prossimità - generi alimentari,Local commerce - groceries,143
147,,Thomas,"Pietro,",,,s. Salvatore,riva del ferro,5151,,salvador,San Marco,POINT (12.336146449009432 45.43778957198362),contemporary,aceto,Vineger,Commercio di prossimità - generi alimentari,Local commerce - groceries,143
148,,Thomas,"Pietro,",,,s. Silvestro,calle panateria,324,,silvestro,San Polo,POINT (12.33393036884894 45.43961933105013),contemporary,aceto,Vineger,Commercio di prossimità - generi alimentari,Local commerce - groceries,143
148,,Thomas,"Pietro,",,,s. Silvestro,calle panateria,324,,silvestro,San Polo,POINT (12.33393036884894 45.43961933105013),contemporary,aceto,Vineger,Commercio di prossimità - generi alimentari,Local commerce - groceries,143
149,,Thomas,"Pietro,",,,s. Silvestro,calle panateria,325,,silvestro,San Polo,POINT (12.334021185685362 45.43969872301884),contemporary,aceto,Vineger,Commercio di prossimità - generi alimentari,Local commerce - groceries,143
149,,Thomas,"Pietro,",,,s. Silvestro,calle panateria,325,,silvestro,San Polo,POINT (12.334021185685362 45.43969872301884),contemporary,aceto,Vineger,Commercio di prossimità - generi alimentari,Local commerce - groceries,143
150,,Zennaro,"Luigi,",,,s. Salvatore,in campo,4805,,salvador,San Marco,POINT (12.336068578094011 45.43689985612471),contemporary,agenzia d’incanti,,,,143
151,,Farsari,Giovanna,,"nata Bernardini,",s. Salvatore,merceria,4848,,salvador,San Marco,POINT (12.336978284397093 45.436661090179335),contemporary,alberghi principali,major hotels,Ostelleria,Hospitality and Lodging Services,143
152,,Succietti,"Antonio,",,,s. Marco,calle del cappello,182,,marco,San Marco,POINT (12.338609475257137 45.43478211451295),contemporary,alberghi principali,major hotels,Ostelleria,Hospitality and Lodging Services,143
153,,Boerio,"Giovanni,",,,s. Marco,a s. Gallo,1107,,marco,San Marco,POINT (12.337076794421696 45.43444222011369),contemporary,alberghi principali,major hotels,Ostelleria,Hospitality and Lodging Services,143
154,,Romanello,"Antonio,",,,s. Marco,calle larga,369,,marco,San Marco,POINT (12.33953547084415 45.435226081002256),contemporary,alberghi principali,major hotels,Ostelleria,Hospitality and Lodging Services,143
155,,Marseille,"Augusto,",,,s. Marco,calle del ridotto,1364,,marco,San Marco,POINT (12.336648752232303 45.43242808960571),contemporary,alberghi principali,major hotels,Ostelleria,Hospitality and Lodging Services,143
156,,Barbesi,"Augasto,",,,s. Stefano,salizzada Malipiero,3231,,stefano,San Marco,POINT (12.328272181677583 45.433807331562456),contemporary,alberghi principali,major hotels,Ostelleria,Hospitality and Lodging Services,143
157,,Padrun ;Sobrio,Sebastiano; Sante,,,s. Marco,Procuratie vecchie,409,,marco,San Marco,POINT (12.339974895222698 45.435359830762785),contemporary,alberghi principali,major hotels,Ostelleria,Hospitality and Lodging Services,144
158,,Muzzarelli; Roux,"Giuseppina;Vespasiano,; Gio. Battista,",,,s. Zacc.,riva dei schiavoni,4496,,zaccaria,Castello,POINT (12.341742964570113 45.43554083885417),contemporary,alberghi principali,major hotels,Ostelleria,Hospitality and Lodging Services,144
159,,Foldi;Bruni,"Giovanni;Vincenzo,",,,s. Marco,calle dei fuseri,1812,,marco,San Marco,POINT (12.33541199014272 45.43453824015395),contemporary,alberghi principali,major hotels,Ostelleria,Hospitality and Lodging Services,144
160,,Guidetti,"Francesco,",,,s. Marco,ponte barozzi s. Moisé,1449,,marco,San Marco,POINT (12.335812620703736 45.43283631320918),manuel,alberghi principali,major hotels,Ostelleria,Hospitality and Lodging Services,144
161,,Ruol,"Bartolammeo,",,,s. Marco,all’ Ascens.,4243,,marco,San Marco,POINT (12.337516710160918 45.43629509397701),cadaster,alberghi principali,major hotels,Ostelleria,Hospitality and Lodging Services,144
162,,Olivo,Gio.Battista,,,s. Marco,calle larga,286,,marco,San Marco,POINT (12.338998375934576 45.43503753930538),contemporary,alberghi principali,major hotels,Ostelleria,Hospitality and Lodging Services,144
